sub_centre_code,sc_name,sc_label
1,Agga_Pur,Agga Pur
2,Bakawa,Bakawa 
3,Balanpur_Basant_Pur,Balanpur Basant Pur
4,Bhachakahi,Bhachakahi
5,Bhagwan_Pur,Bhagwan Pur
6,Chailahi,Chailahi 
7,Chilhariya,Chilhariya 
8,Durga_Pur_K_p_,Durga Pur K.p.
9,Ekagharwa,Ekagharwa
10,Gulara,Gulara
11,Jamuni_Kala,Jamuni Kala
12,Jokhawa,Jokhawa 
13,Katkuiyan_Kalan,Katkuiyan Kalan
14,Kidiyawanpur_Joga_Gown,Kidiyawanpur Joga Gown
15,Laxman_Pur,Laxman Pur 
16,Madhawa_Pur,Madhawa Pur
17,Medhakiya,Medhakiya
18,Motipur_Kalan,Motipur Kalan
19,Padawaliya,Padawaliya 
20,Parsa__Bhadila_Joga_Gown,"Parsa, Bhadila Joga Gown"
21,Parsiya_Raja,Parsiya Raja 
22,Parsohana,Parsohana
23,Piprahwa_Joga_Gown,Piprahwa Joga Gown
24,Purebale,Purebale
25,Puredari_Joga_Gown,Puredari Joga Gown
26,Rampur_Devman,Rampur Devman
27,Sachauli_Joga_Gown,Sachauli Joga Gown
28,Sandhai_Purwa_Joga_Gown,Sandhai Purwa Joga Gown
29,Shahpur_Bargadwa,Shahpur Bargadwa
30,Shivgadh_Khurd,Shivgadh Khurd
31,Sirsiya,Sirsiya
32,Sonaudha_Tarai,Sonaudha Tarai 
33,Sonbarsa_Joga_Gown,Sonbarsa Joga Gown
34,Takiya,Takiya
35,Titihiriya,Titihiriya
